,date,close,ticker,epssurprisepct,close_change
0,1997-07-16,0.14676299691200256,AAPL,26.79,44.867580767294626
1,1997-10-15,0.21261200308799744,AAPL,-50.44,-17.06065607664624
2,1998-01-14,0.17633900046348572,AAPL,22.3,38.92445523077326
3,1998-04-15,0.24497799575328827,AAPL,156.52,25.51250152446489
4,1998-07-15,0.30747801065444946,AAPL,68.49,8.529714798032417
5,1998-10-14,0.33370500802993774,AAPL,39.92,24.41497856354784
6,1999-01-13,0.4151790142059326,AAPL,12.79,-23.588861924431505
7,1999-04-14,0.3172430098056793,AAPL,19.24,57.4319987141271
8,1999-07-14,0.4994420111179352,AAPL,7.69,14.469349958853694
9,1999-10-13,0.5717080235481262,AAPL,12.69,66.42253814221488
10,2000-01-19,0.9514510035514832,AAPL,11.14,13.665652656859596
11,2000-04-19,1.0814729928970337,AAPL,9.59,-5.469577834256478
12,2000-07-18,1.0223209857940674,AAPL,3.01,-64.84714634700933
13,2000-10-18,0.359375,AAPL,-3.94,13.242157645847485
14,2001-04-18,0.4069640040397644,AAPL,920.78,-8.819697284145821
15,2002-01-16,0.3710710108280182,AAPL,2.21,-14.05176435741261
16,2002-07-16,0.318928986787796,AAPL,3.04,-18.47715283520104
17,2002-10-16,0.25999999046325684,AAPL,-66.9,-0.892694212572176
18,2003-01-15,0.2576789855957031,AAPL,-47.8,-8.24668712712253
19,2003-04-16,0.23642900586128235,AAPL,100.0,50.0750702014473
20,2003-07-16,0.35482099652290344,AAPL,63.01,24.911998899361553
21,2003-10-15,0.4432139992713928,AAPL,20.46,-2.4978896291866337
22,2004-01-14,0.4321430027484894,AAPL,9.38,10.082540976874089
23,2004-04-14,0.4757139980792999,AAPL,46.41,11.036038448813779
24,2004-07-14,0.5282139778137207,AAPL,14.96,34.38133324907808
25,2004-10-13,0.7098209857940674,AAPL,47.7,64.67940568419037
26,2005-01-12,1.1689289808273315,AAPL,43.93,25.389480614667793
27,2005-04-13,1.4657139778137207,AAPL,39.69,-6.554553365920313
28,2005-07-13,1.369642972946167,AAPL,17.96,34.524106484952476
29,2005-10-11,1.8424999713897705,AAPL,2.16,59.895302862769896
30,2006-01-18,2.946070909500122,AAPL,7.09,-20.41457289990537
31,2006-04-19,2.3446431159973145,AAPL,8.22,-17.593301950164253
32,2006-07-19,1.932142972946167,AAPL,22.85,37.763411749390265
33,2006-10-18,2.6617860794067383,AAPL,22.55,27.398332548095095
34,2007-01-17,3.391071081161499,AAPL,45.38,0.42127700951326563
35,2007-04-25,3.4053568840026855,AAPL,35.94,43.95386940455932
36,2007-07-25,4.9021430015563965,AAPL,27.07,27.028991378759425
37,2007-10-22,6.227142810821533,AAPL,17.88,-10.736415870265281
38,2008-01-22,5.558570861816406,AAPL,8.86,4.65819828623899
